agency_id,cac_id,agency_name,addr_line_1,addr_line_2,city,state_abbr,phone_number,zip_code
64855222,3,Kellyton Agency,636 Archer Estates Suite 332,,Kellyton,MA,(623)232-1953,28973
88138976,3,Margaretton Agency,69409 Kenneth Haven,,Margaretton,MI,(433)929-1509,99344
90606354,3,Port Richardfurt Agency,153 Choi Corner Apt. 728,,Port Richardfurt,MD,(342)688-1859,89892
11776239,3,South Maureen Agency,507 Shaffer Village,,South Maureen,NH,(900)358-0203,05683
55114584,3,Ryanville Agency,898 Benson Prairie,,Ryanville,UT,(133)893-0669,25643
63698675,8,Kimside Agency,40105 Eric Drive Apt. 239,,Kimside,GA,(255)467-8786,38170
87712702,8,Matafort Agency,23801 Amy Harbors,,Matafort,IL,(609)626-7993,16197
19153901,8,Wongburgh Agency,513 Wilson Stravenue Apt. 101,,Wongburgh,FL,(780)140-0728,35618
65513486,8,Schultzville Agency,8586 Hobbs Crescent Apt. 550,,Schultzville,OK,(157)047-1468,69123
65744229,8,Contrerasberg Agency,8037 Chloe Glens Suite 035,,Contrerasberg,NE,(265)540-5256,06307
26447257,1,Davidmouth Agency,7184 Angela Prairie,,Davidmouth,NY,(390)451-5630,26975
82530068,1,Weaverbury Agency,51333 Serrano Canyon Suite 018,,Weaverbury,WV,(595)574-7419,81814
92175600,1,Kathrynbury Agency,77233 Sims Street,,Kathrynbury,VA,(025)564-4394,55545
55381745,1,Zacharyburgh Agency,73529 Evans Port,,Zacharyburgh,RI,(863)795-2462,29745
26491895,1,Ebonymouth Agency,8086 Williamson Crossroad,,Ebonymouth,OR,(096)699-5760,30327
90308062,7,East Michael Agency,82550 Brenda Squares,,East Michael,IN,(093)121-6084,02932
51041199,7,South Michaelfort Agency,0507 Nicole Cape,,South Michaelfort,GA,(683)682-6521,66718
97638793,7,Jeffreyview Agency,676 Green Course,,Jeffreyview,TN,(008)395-8780,46109
39726901,7,Zacharybury Agency,707 Jimenez Pike Suite 149,,Zacharybury,OH,(592)731-8109,87773
55628367,7,North Susanport Agency,033 Smith Bypass,,North Susanport,MS,(969)911-6380,58527
25647370,9,Jessicaport Agency,325 Myers Road Apt. 632,,Jessicaport,KS,(916)973-4786,24861
84197618,9,West Christinatown Agency,006 Ramos Rest,,West Christinatown,AR,(943)648-0041,99004
13760974,9,Breannatown Agency,12021 Angela Meadow,,Breannatown,FL,(819)274-7702,39655
40115812,9,South Danabury Agency,62398 Hill Vista,,South Danabury,WV,(566)879-1282,91062
67061709,9,North Karamouth Agency,897 Ruiz Ville,,North Karamouth,OR,(596)146-9291,39087
