case_id,case_va_session_attendee_id,case_va_session_id,person_id
663728113,5690218,901503494,774497854
350894326,8682643,62741189,498652775
649062603,545955,398299576,643860346
131214017,9531463,636514671,338447643
315457188,4869486,671656215,295018813
177890231,9599440,743494271,514699120
878375330,8164759,656002580,537378532
649062603,570699,398299576,991702285
342148123,6808973,96289016,617604807
195652773,2092242,707868289,84891652
454834734,2903884,990007714,138152439
649062603,8456570,383212267,845478973
786046247,7555099,715393550,918426598
911154824,1126379,696669046,195004525
655812148,8090579,580978934,803586101
655812148,3865026,580978934,27524683
660904088,5013331,463215878,365444975
303687437,6042735,989777022,248452189
160517121,6364380,106901529,918426598
240573214,1328865,946840431,779954621
350894326,5668740,62741189,534530862
681834076,7294915,586931716,650293672
143533439,3895377,147014430,308873119
557236694,5125787,76116010,650293672
33811312,4185803,680574080,295018813
378560388,5360679,372221729,712783984
673318769,1193980,543129470,237533929
649062603,8251610,383212267,991702285
567960271,8812593,884591827,73602687
584805092,8070117,504391304,690361785
375415354,8905531,559432375,411868506
663728113,8446790,901503494,233277638
277180894,6381106,537755450,210354800
303687437,2669149,989777022,559094469
616322916,1914862,224577971,11659829
277180894,5662379,537755450,308873119
131214017,996746,636514671,233277638
