cac_id,case_id,case_va_session_id,start_time,end_time,va_provider_agency_id,session_date,session_status
3,876236391,710571444,2012-03-10 01:05:45.467365,2012-03-10 02:05:45,64855222,2014-12-02 15:38:25.359154,4
1,233542099,324083740,2020-06-27 13:59:20.522049,2020-06-27 17:59:20,26447257,2022-12-17 23:35:57.333903,2
1,989573756,579021690,1988-11-30 05:00:14.665435,1988-11-30 08:00:14,26447257,1978-03-16 02:55:30.692798,6
1,350894326,62741189,2024-02-08 20:06:34.237113,2024-02-08 21:06:34,26447257,2020-01-31 16:14:35.533653,5
7,195652773,707868289,2017-09-30 20:32:21.305729,2017-10-01 00:32:21,90308062,2024-03-08 20:52:50.141640,3
8,240573214,946840431,2023-04-27 21:54:22.168248,2023-04-27 23:54:22,63698675,2024-11-03 18:09:41.925272,3
8,786046247,715393550,2024-01-08 20:55:52.034258,2024-01-08 21:55:52,63698675,2024-12-06 09:51:10.551855,2
7,92711316,836015351,2014-12-01 08:06:37.586100,2014-12-01 11:06:37,90308062,2023-06-05 19:35:36.554149,1
7,315457188,671656215,2021-06-16 02:43:43.747089,2021-06-16 04:43:43,90308062,2024-10-20 00:31:34.287129,5
9,663728113,135766001,1989-12-28 06:29:55.526395,1989-12-28 07:29:55,25647370,1979-05-07 08:08:34.903294,6
9,136279325,39926919,2025-02-19 07:55:58.301792,2025-02-19 08:55:58,25647370,2025-03-31 10:34:15.832644,2
9,911154824,696669046,2024-08-23 00:13:47.139854,2024-08-23 04:13:47,25647370,2020-10-18 23:45:42.807979,6
1,537298883,691265039,2011-09-20 17:21:29.148485,2011-09-20 20:21:29,26447257,2015-09-06 05:42:03.102665,5
3,872937319,10096151,2020-07-23 16:40:26.129711,2020-07-23 20:40:26,64855222,2022-11-11 13:34:02.945669,2
9,876703853,869586372,2011-12-22 16:39:41.647275,2011-12-22 20:39:41,25647370,2008-10-11 23:34:08.469908,4
8,660904088,463215878,2024-04-12 10:43:04.367837,2024-04-12 11:43:04,63698675,2023-11-13 03:20:07.096954,3
9,256699509,739157320,1991-02-24 07:03:15.237969,1991-02-24 11:03:15,25647370,2020-05-02 20:00:51.344067,3
7,315457188,273555504,2019-11-12 12:33:40.166378,2019-11-12 16:33:40,90308062,2021-04-18 22:35:14.450129,3
9,408633058,839872021,2024-12-31 00:08:11.444221,2024-12-31 02:08:11,25647370,2023-11-09 13:34:34.998608,6
3,496155645,598469859,2021-03-16 12:41:30.659744,2021-03-16 16:41:30,64855222,2025-01-30 15:56:22.436268,3
1,342148123,49709090,2016-04-23 16:43:59.734174,2016-04-23 17:43:59,26447257,1998-10-28 16:24:12.767140,4
1,231938896,283168741,2014-10-30 14:56:55.862519,2014-10-30 15:56:55,26447257,2019-11-14 20:35:21.721927,5
3,278885990,837205743,2004-06-11 09:33:14.628104,2004-06-11 13:33:14,64855222,2008-03-16 19:57:06.754166,2
8,18901632,132950553,2023-08-10 07:26:14.102119,2023-08-10 09:26:14,63698675,2024-09-13 18:15:35.245100,3
8,356919463,263700105,1981-10-24 01:56:00.971645,1981-10-24 03:56:00,63698675,2012-08-29 15:42:56.679584,5
1,342148123,96289016,1997-06-23 12:04:36.950175,1997-06-23 14:04:36,26447257,2010-07-28 11:23:30.420077,2
9,378560388,372221729,2023-10-26 09:13:39.495799,2023-10-26 12:13:39,25647370,2024-05-27 20:08:50.501167,1
9,681834076,586931716,1994-12-14 07:12:25.976045,1994-12-14 11:12:25,25647370,1977-11-14 08:17:36.712045,1
1,565537685,805347141,2019-03-16 04:40:06.370527,2019-03-16 05:40:06,26447257,2019-01-03 17:39:57.475405,1
7,487388475,461649620,1977-08-06 17:46:32.985373,1977-08-06 19:46:32,90308062,2004-12-22 14:22:51.452036,4
1,303687437,140561936,2015-10-23 18:43:54.631535,2015-10-23 22:43:54,26447257,1996-09-02 06:21:45.870711,5
9,649062603,398299576,2019-12-19 05:30:47.028408,2019-12-19 07:30:47,25647370,2019-07-10 05:07:34.779881,4
1,405107654,769288425,2011-08-26 09:34:16.054502,2011-08-26 13:34:16,26447257,2004-09-24 08:15:43.850042,6
3,143533439,147014430,2016-06-08 00:28:17.381655,2016-06-08 03:28:17,64855222,2015-07-25 11:47:56.707299,6
9,649062603,383212267,2018-02-02 14:36:31.516997,2018-02-02 17:36:31,25647370,2000-06-20 21:24:30.850758,5
1,277180894,537755450,2004-06-20 21:07:44.897655,2004-06-21 00:07:44,26447257,1981-09-25 04:36:05.144613,4
3,485736868,847442426,2004-12-03 05:22:27.801886,2004-12-03 09:22:27,64855222,1998-02-26 14:13:01.676832,4
1,557236694,76116010,2015-03-29 03:37:56.575016,2015-03-29 04:37:56,26447257,2019-01-24 10:14:14.456717,3
8,114087563,767802990,2020-11-04 09:17:13.561685,2020-11-04 12:17:13,63698675,2013-03-06 15:25:08.456358,1
1,584805092,504391304,2017-04-06 23:55:40.416008,2017-04-07 00:55:40,26447257,2013-02-18 14:48:39.944728,6
8,455086560,105338549,2022-03-11 18:30:00.540731,2022-03-11 19:30:00,63698675,2017-02-16 01:21:07.143834,1
9,663728113,901503494,2016-05-09 00:14:34.725728,2016-05-09 03:14:34,25647370,1984-09-04 10:36:52.125829,5
8,33811312,680574080,2008-11-01 05:56:53.467185,2008-11-01 09:56:53,63698675,2002-07-01 02:32:36.237380,5
8,844038421,104135172,2005-12-31 07:52:22.503526,2005-12-31 08:52:22,63698675,1993-01-05 23:15:39.804705,4
1,989573756,767262538,1992-06-07 06:45:52.956991,1992-06-07 10:45:52,26447257,2021-10-31 07:01:01.593551,6
9,325518946,835034434,2009-05-20 18:04:32.295707,2009-05-20 19:04:32,25647370,2011-08-26 12:38:26.027826,6
3,375415354,559432375,2024-05-12 17:59:52.482491,2024-05-12 20:59:52,64855222,2005-04-06 03:58:13.343195,5
8,177890231,743494271,2023-01-04 18:54:47.525345,2023-01-04 19:54:47,63698675,2022-05-24 20:57:21.823329,4
7,271058290,276586587,1993-02-24 13:50:55.406127,1993-02-24 14:50:55,90308062,2014-03-29 08:47:34.421893,3
1,131214017,636514671,1990-10-28 20:36:12.456993,1990-10-29 00:36:12,26447257,2013-09-04 22:33:28.356152,3
3,567960271,884591827,2024-12-09 22:00:13.250233,2024-12-10 00:00:13,64855222,2018-02-28 06:43:44.939784,6
8,661437588,85553537,2005-12-16 10:53:38.641931,2005-12-16 13:53:38,63698675,1993-12-01 15:05:09.900572,3
1,303687437,827952079,2013-06-16 19:13:06.296819,2013-06-16 21:13:06,26447257,2012-01-31 10:42:06.591970,2
7,655812148,580978934,2022-10-08 12:31:38.297216,2022-10-08 15:31:38,90308062,2020-11-30 21:47:55.965007,6
1,272502431,362444654,2000-07-18 21:14:34.156137,2000-07-18 23:14:34,26447257,1982-04-20 20:11:52.637426,1
7,65424929,959231557,2004-07-07 19:48:09.725567,2004-07-07 22:48:09,90308062,2009-12-13 18:09:35.259606,6
8,616322916,224577971,2023-11-24 23:10:20.258506,2023-11-25 02:10:20,63698675,2020-08-20 15:14:15.669863,4
7,454834734,990007714,2023-02-13 16:09:58.228585,2023-02-13 18:09:58,90308062,2019-11-03 08:12:40.495136,2
8,160517121,106901529,2025-04-18 15:38:24.909784,2025-04-18 17:38:24,63698675,2025-04-20 16:29:12.923748,1
1,303687437,989777022,2009-07-12 03:24:01.592107,2009-07-12 07:24:01,26447257,2004-12-19 20:25:41.097802,2
