cac_id,case_va_session_id,case_va_session_service_id,service_type_id
8,104135172,349987362,2
3,135957214,491251929,2
1,140561936,721416006,5
9,398299576,74094318,4
3,10096151,689988062,3
7,707868289,22840104,5
9,696669046,71960587,4
1,769288425,741987913,3
7,273555504,312911342,4
7,990007714,184810211,3
9,135766001,679184599,5
9,135766001,528549814,1
1,96289016,500139104,1
9,398299576,389479550,4
1,636514671,823152773,2
3,847442426,304231597,2
7,990007714,49927791,2
3,267384256,549338720,5
1,686785333,918539412,2
9,586931716,811611592,1
9,39926919,548435484,2
1,543129470,628262113,3
3,535523675,249079349,1
7,959231557,598726238,5
1,543129470,587637102,1
3,598469859,747305666,3
1,686785333,733842399,2
1,691265039,805671898,3
9,739157320,386583823,3
9,901503494,137088243,1
1,543129470,863302101,1
1,986173003,550877045,4
8,106901529,592548048,4
1,362444654,162342474,4
1,579021690,175104248,3
7,990007714,506808126,2
9,586931716,180054022,1
