agency_id,cac_id,agency_name,addr_line_1,addr_line_2,city,state_abbr,phone_number,zip_code
63213139,2,East Amanda Agency,04332 Kimberly Drive,,East Amanda,AZ,(837)209-6906,43253
23767787,2,Ericaview Agency,8219 Calvin Circle,,Ericaview,GA,(080)844-9813,82190
36963026,2,Donnafort Agency,3127 Leonard Well,,Donnafort,VT,(730)831-4057,27500
8168493,2,Jenniferview Agency,527 Philip Vista Apt. 690,,Jenniferview,MO,(844)887-6603,39517
36868802,2,Lake Anthony Agency,871 Lewis Rest Apt. 755,,Lake Anthony,MI,(982)724-2984,92435
75083125,6,West Dustin Agency,5910 Wagner Terrace,,West Dustin,SC,(759)955-8509,03296
63257301,6,Lake Erica Agency,066 Chad Villages Suite 725,,Lake Erica,NC,(468)252-8162,21912
16242029,6,South Juanfurt Agency,0619 Evans Stream Suite 782,,South Juanfurt,MD,(722)832-8878,95423
33741482,6,Haleton Agency,387 Ronald Tunnel Suite 936,,Haleton,RI,(063)917-4369,32526
67791523,6,Port Michaelfort Agency,90462 Matthew Key Suite 931,,Port Michaelfort,OK,(192)362-7616,77830
61735435,10,Matthewton Agency,534 Stephanie Falls Suite 314,,Matthewton,OH,(976)463-1083,52957
54810098,10,East Marcus Agency,334 Garcia Manors Suite 731,,East Marcus,AK,(346)241-8735,53462
57257611,10,Port Evanborough Agency,8707 Jennifer Spur Suite 479,,Port Evanborough,IA,(635)276-5455,31156
34242350,10,Port Lynnport Agency,7785 Jesus Alley Suite 974,,Port Lynnport,FL,(056)385-0886,51772
97524023,10,Toddtown Agency,821 Michael Road,,Toddtown,WI,(891)596-0485,99344
44209457,3,Starkview Agency,8239 Donald Street Suite 866,,Starkview,MA,(943)505-3884,39974
39149958,3,North Christophermouth Agency,05645 Wilkinson Stravenue,,North Christophermouth,NH,(025)712-5179,31573
60520286,3,Annville Agency,9707 Kevin Valleys Suite 665,,Annville,KS,(317)932-0383,64693
92127689,3,Brianfort Agency,55924 Gonzalez Tunnel,,Brianfort,AZ,(094)885-7386,68791
59802573,3,Davidshire Agency,0571 Alexis Drive,,Davidshire,DE,(496)493-2721,67004
84033767,5,Alexchester Agency,7987 Perry Crest Apt. 213,,Alexchester,PA,(254)034-4649,55408
50558543,5,Michelehaven Agency,7711 Stephen Forge,,Michelehaven,MD,(715)459-0979,93101
25459495,5,Pollardton Agency,037 Williams Knolls,,Pollardton,CO,(946)339-0056,13054
280774,5,Port Danielle Agency,062 Olivia Union Suite 963,,Port Danielle,AK,(232)702-4966,89691
37035932,5,East April Agency,603 Carolyn Prairie,,East April,KS,(372)343-8028,57713
