agency_id,cac_id,agency_name,addr_line_1,addr_line_2,city,state_abbr,phone_number,zip_code
75549470,3,Lake Jessica Agency,912 Henry Rue,,Lake Jessica,NC,(619)665-5445,62086
383231,3,South Rodney Agency,7244 Miller Fall Apt. 881,,South Rodney,WI,(127)270-7126,48228
74196332,3,Tammybury Agency,6546 Emily Forest Suite 526,,Tammybury,GA,(148)098-3949,83973
4527906,3,Richardmouth Agency,3314 Edwards Lane Apt. 710,,Richardmouth,CA,(648)662-4973,45130
2298998,3,New Patrick Agency,36062 Mcbride Streets Suite 272,,New Patrick,NV,(317)203-7568,96605
92569462,5,Ferrellstad Agency,722 Weber Flats,,Ferrellstad,IN,(763)528-2157,67984
82179865,5,Mannview Agency,845 Kenneth Plaza Apt. 903,,Mannview,HI,(554)978-2234,89979
91494597,5,Lake Manuel Agency,389 Shane Fall,,Lake Manuel,AZ,(468)210-6470,41634
30885036,5,West Michaelburgh Agency,220 Theresa Extension Suite 727,,West Michaelburgh,NY,(196)087-8185,99066
25601988,5,Lake Yvonnebury Agency,982 Johnson Wall Suite 769,,Lake Yvonnebury,WA,(138)734-1204,96975
97039546,7,Paulabury Agency,34326 Montgomery Roads,,Paulabury,IA,(563)650-5563,96522
8921885,7,Austinfurt Agency,6120 Jennifer Walks,,Austinfurt,MN,(797)259-9439,86918
51241550,7,Steinburgh Agency,824 Matthew Lodge Suite 716,,Steinburgh,TX,(844)407-0306,28247
37391671,7,Bankston Agency,5396 Rita Lock,,Bankston,KY,(081)076-2558,90337
64091102,7,Lake Tamara Agency,9492 Mcclure Trail Apt. 244,,Lake Tamara,NV,(312)244-2958,40385
85424339,10,West Caroline Agency,19640 Patrick Ports Suite 524,,West Caroline,ID,(616)439-4167,47896
63572025,10,East Julie Agency,563 Krista Inlet Suite 980,,East Julie,KS,(503)901-5280,80167
72340902,10,Hernandezmouth Agency,7359 Rojas Road Apt. 644,,Hernandezmouth,RI,(644)102-9302,09389
31656486,10,Loganfurt Agency,3664 Brandon Station Suite 548,,Loganfurt,FL,(602)107-1887,61452
99323880,10,Lake Kimberly Agency,586 Owens Corner Apt. 117,,Lake Kimberly,AR,(426)755-4804,05412
5808225,8,North Helenton Agency,9337 Jacob Expressway Apt. 228,,North Helenton,AZ,(818)287-9150,87181
2088930,8,Ramirezside Agency,5344 Arias Island Apt. 883,,Ramirezside,RI,(182)863-7685,25701
14889847,8,Gibsonberg Agency,281 Kaylee Plains,,Gibsonberg,MN,(555)118-9049,55137
2066470,8,Erinbury Agency,10628 Andrew Walks Apt. 250,,Erinbury,WI,(819)915-1076,02180
62591054,8,South Brettfurt Agency,301 Barnett Brooks Apt. 718,,South Brettfurt,WV,(911)476-7378,98976
