case_id,case_va_session_attendee_id,case_va_session_id,person_id
136458423,374210,865246003,367808489
75716599,6596798,224792054,856382843
403743564,9371347,172987214,368596342
897679260,3399089,495867526,915080351
270314773,5776711,334289726,651167404
136458423,8395057,865246003,187899461
716338529,4036504,945883680,781077399
448019812,6126847,543360906,367808489
929433413,36348,634784101,986964451
929433413,11817,634784101,338422190
75716599,8629973,224792054,986964451
42079044,8929413,851573698,77470681
