cac_id,case_id,case_va_session_id,start_time,end_time,va_provider_agency_id,session_date,session_status
8,136458423,865246003,2023-10-04 21:25:49.963294,2023-10-04 22:25:49,5808225,2009-05-15 08:31:43.367793,2
7,722182043,173691693,2019-02-08 17:22:05.727659,2019-02-08 21:22:05,97039546,2012-09-23 22:21:38.706289,3
3,403743564,172987214,2024-11-17 12:44:08.269711,2024-11-17 16:44:08,75549470,2024-09-04 23:17:17.712163,2
7,358203360,645420778,2019-11-01 18:15:36.327418,2019-11-01 21:15:36,97039546,1974-06-25 06:35:15.484287,4
10,411801816,944908473,1987-08-19 23:19:52.152269,1987-08-20 00:19:52,85424339,2012-06-03 03:43:43.620619,6
8,585456842,123674164,1979-03-26 10:34:17.572671,1979-03-26 11:34:17,5808225,2005-02-08 14:43:25.146505,5
3,515027202,315391399,2013-06-01 17:51:08.897853,2013-06-01 18:51:08,75549470,2019-11-11 13:32:50.285221,3
3,530585156,612294707,2023-10-23 09:50:32.282392,2023-10-23 12:50:32,75549470,2019-07-13 22:20:38.602884,3
8,917055481,909101438,2023-11-05 12:55:01.821072,2023-11-05 15:55:01,5808225,2023-06-30 16:43:40.700936,6
3,434514686,839422467,2017-11-13 17:22:25.432031,2017-11-13 21:22:25,75549470,1995-12-11 04:57:18.234234,3
3,716338529,945883680,1977-11-12 05:13:53.447455,1977-11-12 06:13:53,75549470,1991-09-01 09:21:22.579912,6
7,42079044,851573698,1993-09-26 06:47:56.251259,1993-09-26 10:47:56,97039546,2019-01-26 01:04:07.449986,4
8,423422980,660134755,1996-06-03 05:32:42.788005,1996-06-03 07:32:42,5808225,2010-08-04 17:27:45.416889,4
10,398836978,534139644,2024-03-23 07:49:59.774852,2024-03-23 10:49:59,85424339,2006-01-12 07:41:27.151270,2
7,897679260,495867526,2007-07-30 22:58:57.701854,2007-07-31 00:58:57,97039546,1996-08-03 19:54:59.232346,4
3,270314773,334289726,2025-03-31 08:58:00.046564,2025-03-31 12:58:00,75549470,2011-03-06 03:58:58.915374,3
10,850030790,978809668,2013-05-20 03:11:04.273860,2013-05-20 07:11:04,85424339,1990-08-29 11:39:57.138624,5
5,448019812,543360906,2020-08-31 08:47:50.515549,2020-08-31 10:47:50,92569462,2018-01-02 15:05:57.602475,4
3,426498871,164180832,1988-12-06 16:13:26.059421,1988-12-06 19:13:26,75549470,1980-09-09 01:39:07.733211,2
8,917055481,689366774,2023-11-24 10:30:41.559156,2023-11-24 14:30:41,5808225,2024-09-01 00:45:41.860956,3
8,75716599,224792054,2018-04-30 04:32:54.596836,2018-04-30 07:32:54,5808225,2020-06-27 18:16:23.903461,3
10,929433413,634784101,2015-04-10 00:55:28.907093,2015-04-10 01:55:28,85424339,1990-09-16 01:16:22.543851,5
7,701104914,273011723,2016-04-10 20:17:41.579995,2016-04-10 21:17:41,97039546,2014-01-02 03:55:39.562097,4
8,585456842,279842381,2006-04-11 03:11:12.659430,2006-04-11 05:11:12,5808225,1973-07-12 06:02:39.236697,4
3,434514686,803130138,2018-06-18 21:27:46.741611,2018-06-19 01:27:46,75549470,2022-09-21 10:59:09.214248,6
